aiddata_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
97579058,2010,Japan,Zambia,856988,31140,Agricultural water resources
97410761,2010,Japan,Sri Lanka,1481200,15110,Public sector policy and adm. management
97513873,2010,Japan,Uganda,14310.6,31110,Agricultural policy & admin. mgmt
96165072,2010,Japan,Georgia,105225,12230,Basic health infrastructure
95897650,2010,Sweden,"Bilateral, unspecified",1901920,43030,Urban development and management
96059940,2010,Japan,Afghanistan,1051280,15250,Land mine clearance
94862076,2010,Australia,Papua New Guinea,86084.5,31192,Plant/post-harvest prot. & pest ctrl
97403919,2010,Japan,Solomon Islands,261.801,74010,Disaster prevention and preparedness
96171632,2010,Japan,Guinea,5345100,72040,Emergency food aid
97352341,2010,Japan,Mongolia,88833.6,32110,Industrial policy & admin. mgmt
95881403,2010,Sweden,Iraq,7776.16,15151,Elections
97595315,2010,Japan,"Bilateral, unspecified",271636,32210,Mineral/mining policy & admin. mgmt
95881561,2010,Sweden,Moldova,1944.04,33110,Trade policy and admin. management
95912279,2010,Sweden,Croatia,71475.9,15110,Public sector policy and adm. management
95978951,2010,Sweden,Belarus,1219750,16061,Culture and recreation
96375435,2010,Japan,Bolivia,14663.9,32210,Mineral/mining policy & admin. mgmt
97408415,2010,Japan,Sri Lanka,20427.9,23030,Power generation/renewable sources
97588435,2010,Japan,Armenia,23475.5,15111,Public finance management
96408520,2010,Japan,Cambodia,121573,16010,Social/welfare services
97625404,2010,Japan,Philippines,1286700,32171,Engineering
96234585,2010,Japan,Peru,75271.6,12230,Basic health infrastructure
97630878,2010,Japan,Thailand,34296.7,11430,Advanced tech. & managerial training
97633835,2010,Japan,Uzbekistan,781460,11420,Higher education
97357744,2010,Japan,Mozambique,407586,31110,Agricultural policy & admin. mgmt
96334893,2010,Japan,Belize,11881.3,13040,Std control including hiv/aids
97158079,2010,Japan,Ghana,24425.1,31163,Livestock
96099258,2010,Japan,"Bilateral, unspecified",71972.4,16061,Culture and recreation
96144091,2010,Japan,Costa Rica,108986,14031,Basic drinking water supply
97335483,2010,Japan,Mexico,76422.3,41030,Bio-diversity
95954614,2010,Sweden,"South of Sahara, regional",95238.5,99810,Sectors not specified
97191474,2010,Japan,India,394589,31110,Agricultural policy & admin. mgmt
97370941,2010,Japan,Niger,169463,41010,Environmental policy and admin. mgmt
95916825,2010,Sweden,"Europe, regional",2592050,43010,Multisector aid
97420212,2010,Japan,Swaziland,12543.8,12250,Infectious disease control
96257323,2010,Japan,Thailand,118725,16061,Culture and recreation
94719978,2010,Australia,China,9482.91,33120,Trade facilitation
97443512,2010,Japan,Tanzania,2738.44,14040,River development
96194257,2010,Japan,Kyrgyz Republic,95348.5,11110,Education policy & admin. management
95876150,2010,Sweden,"Bilateral, unspecified",518411,33110,Trade policy and admin. management
96329404,2010,Japan,Bangladesh,1203.59,32163,Textiles - leather & substitutes
96296516,2010,Japan,Albania,33358.2,43010,Multisector aid
96255306,2010,Japan,Tanzania,77314.5,11330,Vocational training
96261346,2010,Japan,Togo,50465.8,11120,Education facilities and training
97359984,2010,Japan,Myanmar,1104.21,31163,Livestock
97608010,2010,Japan,Indonesia,12698.4,15111,Public finance management
97070802,2010,Japan,Croatia,24701.2,31110,Agricultural policy & admin. mgmt
95943610,2010,Sweden,Philippines,8553.78,99810,Sectors not specified
97134418,2010,Japan,Ethiopia,115147,12110,Health policy & admin. management
97499054,2010,Japan,Turkey,1136170,11330,Vocational training
97572435,2010,Japan,Yemen,13736.4,22030,Radio/television/print media
97368886,2010,Japan,Nicaragua,63723.9,33210,Tourism policy and admin. management
97581665,2010,Japan,Zambia,588665,11220,Primary education
97373514,2010,Japan,"Oceania, regional",22.0842,12110,Health policy & admin. management
97304409,2010,Japan,Malawi,11.0421,31163,Livestock
97356193,2010,Japan,Mozambique,25418.9,31140,Agricultural water resources
97382080,2010,Japan,Papua New Guinea,33.1263,41010,Environmental policy and admin. mgmt
97145986,2010,Japan,Fiji,60323,25010,Business support services & institutions
97511657,2010,Japan,Tuvalu,2290.76,74010,Disaster prevention and preparedness
96418624,2010,Japan,Chile,132627,24010,Financial policy & admin. management
97525922,2010,Japan,Uruguay,12853,24010,Financial policy & admin. management
96114530,2010,Japan,Brazil,104288,11240,Early childhood education
95912875,2010,Sweden,Egypt,4425.67,12220,Basic health care
95976025,2010,Sweden,Zimbabwe,414081,15150,Democratic participation and civil society
94742778,2010,Australia,India,189882,31182,Agricultural research
97070479,2010,Japan,Cote D'Ivoire,52670.8,31195,Livestock/veterinary services
97526052,2010,Japan,Uruguay,94178,25010,Business support services & institutions
97359955,2010,Japan,Myanmar,11572.1,31150,Agricultural inputs
97411361,2010,Japan,Sri Lanka,37797.1,31310,Fishing policy and admin. management
96291525,2010,Japan,"Africa, regional",27649.4,33110,Trade policy and admin. management
96153216,2010,Japan,El Salvador,19356.8,16061,Culture and recreation
94877160,2010,Australia,Philippines,49678.6,16010,Social/welfare services
94729092,2010,Australia,"Far East Asia, regional",1650620,15130,Legal and judicial development
96334221,2010,Japan,Belize,8292.61,23010,Energy policy and admin. management
96243197,2010,Japan,Serbia,107945,14050,Waste management/disposal
97294189,2010,Japan,Liberia,39111.1,14022,Sanitation - large systems
97621411,2010,Japan,Nigeria,224276,11420,Higher education
96310379,2010,Japan,Angola,22.0842,12220,Basic health care
96158771,2010,Japan,Ethiopia,109076,11120,Education facilities and training
96230139,2010,Japan,Palau,42976.2,14050,Waste management/disposal
96150795,2010,Japan,Dominican Republic,100706,12230,Basic health infrastructure
97386855,2010,Japan,Peru,86294,13020,Reproductive health care
97365997,2010,Japan,Nepal,31911.7,31120,Agricultural development
97088633,2010,Japan,Ecuador,31580.4,11330,Vocational training
97323213,2010,Japan,Maldives,7022.77,15110,Public sector policy and adm. management
97518359,2010,Japan,Uganda,55.2105,31210,Forestry policy & admin. management
97591452,2010,Japan,Belarus,201474,32171,Engineering
94908542,2010,Australia,Solomon Islands,3688.9,31161,Food crop production
97411145,2010,Japan,Sri Lanka,469433,21020,Road transport
97388307,2010,Japan,Peru,101459000,14031,Basic drinking water supply
97412171,2010,Japan,St. Lucia,46211.2,11220,Primary education
97430263,2010,Japan,Syria,1296890,31140,Agricultural water resources
95875144,2010,Sweden,"Africa, regional",116642,43030,Urban development and management
96344180,2010,Japan,Bhutan,325565,11110,Education policy & admin. management
96201673,2010,Japan,Malawi,53995,11120,Education facilities and training
96385293,2010,Japan,Brazil,1005600,14050,Waste management/disposal
96258775,2010,Japan,Thailand,96168.1,13040,Std control including hiv/aids
96272769,2010,Japan,Viet Nam,519542,43010,Multisector aid
96335928,2010,Japan,Belize,12035.9,33210,Tourism policy and admin. management
97289691,2010,Japan,Laos,810026,33110,Trade policy and admin. management
96425672,2010,Japan,Chile,105297,12110,Health policy & admin. management
96321633,2010,Japan,Armenia,72922,14021,Water supply - large systems
95926746,2010,Sweden,Kenya,27605.8,99810,Sectors not specified
97376477,2010,Japan,Pakistan,10523.1,31130,Agricultural land resources
95961607,2010,Sweden,Thailand,18289.5,43081,Multisector education/training
97521577,2010,Japan,Uganda,356560,12220,Basic health care
94769787,2010,Australia,Indonesia,13414.3,41030,Bio-diversity
97185128,2010,Japan,Honduras,69708.7,12110,Health policy & admin. management
96057902,2010,Japan,Afghanistan,6701280,16063,Narcotics control
96118134,2010,Japan,Burkina Faso,54268.8,11330,Vocational training
95923291,2010,Sweden,Indonesia,252725,43040,Rural development
96416345,2010,Japan,Chad,55.2105,13020,Reproductive health care
97257420,2010,Japan,Kenya,276.052,14040,River development
96444907,2010,Japan,China,5552.36,74010,Disaster prevention and preparedness
96051100,2010,Japan,Fiji,254752,31320,Fishery development
95954478,2010,Sweden,"South of Sahara, regional",19559.6,12220,Basic health care
97197971,2010,Japan,Indonesia,13327.8,31210,Forestry policy & admin. management
97153702,2010,Japan,Ghana,58986.9,32162,Forest industries
96065298,2010,Japan,Afghanistan,283634,12230,Basic health infrastructure
95891911,2010,Sweden,"Bilateral, unspecified",262725,43081,Multisector education/training
95960614,2010,Sweden,Tanzania,311046,43040,Rural development
96112658,2010,Japan,Brazil,105430,12191,Medical services
95898590,2010,Sweden,"Bilateral, unspecified",64796.9,99820,Promotion of development awareness
97155764,2010,Japan,Ghana,660660,31110,Agricultural policy & admin. mgmt
97565691,2010,Japan,Palestinian Adm. Areas,119210,31120,Agricultural development
97444743,2010,Japan,Tanzania,11296.1,32161,Agro-industries
97081819,2010,Japan,Dominican Republic,1910.28,31210,Forestry policy & admin. management
97210721,2010,Japan,Indonesia,63497.6,74010,Disaster prevention and preparedness
97359608,2010,Japan,Myanmar,9784.81,74010,Disaster prevention and preparedness
97375654,2010,Japan,Pakistan,23147.6,72050,Relief co-ordination; protection and support services
95895700,2010,Sweden,"Bilateral, unspecified",1060530,15153,Media and free flow of information
97634911,2010,Japan,Viet Nam,61095.9,16020,Employment policy and admin. mgmt.
95955846,2010,Sweden,"South of Sahara, regional",4701860,15150,Democratic participation and civil society
97539775,2010,Japan,Venezuela,17457.6,14040,River development
95889561,2010,Sweden,"Bilateral, unspecified",129603,41010,Environmental policy and admin. mgmt
97478675,2010,Japan,Tonga,117543,12110,Health policy & admin. management
95984676,2010,Sweden,Turkey,482997,16061,Culture and recreation
97290108,2010,Japan,Laos,58158.7,33210,Tourism policy and admin. management
96318760,2010,Japan,Argentina,144475,41030,Bio-diversity
97158947,2010,Japan,Ghana,58986.9,16062,Statistical capacity building
95886115,2010,Sweden,"Asia, regional",391971,15150,Democratic participation and civil society
95937912,2010,Sweden,Niger,911755,72050,Relief co-ordination; protection and support services
96394115,2010,Japan,Burkina Faso,271580,12110,Health policy & admin. management
95879578,2010,Sweden,"Bilateral, unspecified",648013,74010,Disaster prevention and preparedness
97615868,2010,Japan,Mali,28035.9,11420,Higher education
94624589,2010,Australia,Afghanistan,1844.45,31161,Food crop production
96085445,2010,Japan,Argentina,320.221,11110,Education policy & admin. management
95966436,2010,Sweden,Ukraine,259205,15150,Democratic participation and civil society
97440186,2010,Japan,Tajikistan,99964.1,14021,Water supply - large systems
