"donor","recipient","commitment_amount_usd_constant"
"Japan","Indonesia",403544000
"Japan","Indonesia",296653000
"Japan","Indonesia",98142600
"Japan","Indonesia",91532100
"Japan","Indonesia",33357800
"Japan","Indonesia",15620800
"Japan","Indonesia",10908400
"Japan","Indonesia",10908400
"Japan","Indonesia",6994600
"Japan","Indonesia",6774100
"Japan","Indonesia",5988690
"Japan","Indonesia",5672350
"Japan","Indonesia",5300430
"Japan","Indonesia",5290560
"Japan","Indonesia",4653480
"Japan","Indonesia",4498370
"Japan","Indonesia",3533570
"Japan","Indonesia",3196270
"Japan","Indonesia",2803400
"Japan","Indonesia",2633870
"Japan","Indonesia",2597750
"Japan","Indonesia",2315320
"Japan","Indonesia",2109440
"Japan","Indonesia",2060090
"Japan","Indonesia",2026400
"Japan","Indonesia",1786030
"Japan","Indonesia",1781980
"Japan","Indonesia",1653100
"Japan","Indonesia",1570160
"Japan","Indonesia",1512790
"Japan","Indonesia",1483000
"Japan","Indonesia",1470880
"Japan","Indonesia",1422920
"Japan","Indonesia",1421520
"Japan","Indonesia",1352910
"Japan","Indonesia",1318820
"Japan","Indonesia",1295480
"Japan","Indonesia",1264070
"Japan","Indonesia",1262920
"Japan","Indonesia",1242500
"Japan","Indonesia",1220910
"Japan","Indonesia",1197960
"Japan","Indonesia",1193930
"Japan","Indonesia",1152150
"Japan","Indonesia",1139630
"Japan","Indonesia",1139400
"Japan","Indonesia",1128470
"Japan","Indonesia",1123650
"Japan","Indonesia",1101190
"Japan","Indonesia",1042890
"Japan","Indonesia",1025270
"Japan","Indonesia",954567
"Japan","Indonesia",916196
"Japan","Indonesia",904193
"Japan","Indonesia",878310
"Japan","Indonesia",863978
"Japan","Indonesia",836273
"Japan","Indonesia",827870
"Japan","Indonesia",819931
"Japan","Indonesia",815359
"Japan","Indonesia",813928
"Japan","Indonesia",810666
"Japan","Indonesia",747914
"Japan","Indonesia",717548
"Japan","Indonesia",707566
"Japan","Indonesia",698158
"Japan","Indonesia",677653
"Japan","Indonesia",676715
"Japan","Indonesia",663299
"Japan","Indonesia",568348
"Japan","Indonesia",557979
"Japan","Indonesia",546352
"Japan","Indonesia",523616
"Japan","Indonesia",512693
"Japan","Indonesia",510896
"Japan","Indonesia",504138
"Japan","Indonesia",477219
"Japan","Indonesia",473609
"Japan","Indonesia",460897
"Japan","Indonesia",443517
"Japan","Indonesia",441718
"Japan","Indonesia",412555
"Japan","Indonesia",390603
"Japan","Indonesia",383691
"Japan","Indonesia",382443
"Japan","Indonesia",358967
"Japan","Indonesia",346406
"Japan","Indonesia",332400
"Japan","Indonesia",329416
"Japan","Indonesia",316201
"Japan","Indonesia",278392
"Japan","Indonesia",255779
"Japan","Indonesia",255150
"Japan","Indonesia",251815
"Japan","Indonesia",251495
